Channel  Owner  SlaveId  Periph
221.     0.      0x3     0xA1
222.     0.      0x3     0xB0
223.     0.      0x3     0xB1
224.     0.      0x3     0xB2
225.     0.      0x3     0xB3
226.     0.      0x3     0xB4
227.     0.      0x3     0xB5
228.     0.      0x3     0xB6
229.     0.      0x3     0xC0
230.     0.      0x3     0xD0
231.     0.      0x3     0xD3
232.     0.      0x3     0xD8
233.     0.      0x3     0xD9
234.     0.      0x3     0xDC
235.     0.      0x3     0xDE
236.     0.      0x3     0xE0
237.     0.      0x3     0xEC
238.     0.      0x3     0xF0
239.     0.      0x3     0xF1
240.     4.      0x3     0x06
241.     0.      0x3     0x08
242.     4.      0xe     0x05
243.     4.      0xe     0x06
244.     0.      0xe     0x08
