Channel  Owner  SlaveId  Periph
0.       0.     0xE      0x08
1.       4.     0xE      0x06
2.       4.     0xE      0x05
3.       0.     0x3      0xDE
4.       0.     0x3      0xDC
5.       0.     0x3      0xD9
6.       0.     0x3      0xD8
7.       0.     0x3      0xD3
8.       0.     0x3      0xC0
9.       0.     0x3      0xB0
10.      0.     0x3      0x40
11.      4.     0x2      0xFE
12.      0.     0x2      0xC1
13.      0.     0x2      0xC0
14.      0.     0x2      0xA3
15.      0.     0x2      0xA2
16.      0.     0x2      0xA1
17.      0.     0x2      0xA0
18.      4.     0x2      0x79
19.      0.     0x2      0x78
20.      0.     0x2      0x77
21.      4.     0x2      0x76
22.      0.     0x2      0x75
23.      0.     0x2      0x74
24.      0.     0x2      0x73
25.      0.     0x2      0x72
26.      0.     0x2      0x71
27.      4.     0x2      0x70
28.      4.     0x2      0x59
29.      0.     0x2      0x44
30.      0.     0x2      0x43
31.      0.     0x2      0x42
32.      0.     0x2      0x41
33.      0.     0x2      0x40
34.      0.     0x2      0x31
35.      4.     0x2      0x2C
36.      2.     0x2      0x1C
37.      0.     0x2      0x1B
38.      0.     0x2      0x16
39.      0.     0x2      0x14
40.      0.     0x2      0x13
41.      0.     0x2      0x12
42.      0.     0x2      0x11
43.      0.     0x2      0x10
44.      4.     0x2      0x09
45.      0.     0x2      0x08
46.      4.     0x2      0x06
47.      4.     0x2      0x05
48.      4.     0x2      0x04
49.      4.     0x2      0x01
50.      0.     0x1      0xF3
51.      0.     0x1      0xF2
52.      0.     0x1      0xF1
53.      0.     0x1      0xF0
54.      4.     0x1      0xBC
55.      4.     0x1      0x56
56.      4.     0x1      0x55
57.      4.     0x1      0x54
58.      4.     0x1      0x53
59.      4.     0x1      0x52
60.      4.     0x1      0x51
61.      4.     0x1      0x50
62.      4.     0x1      0x4F
63.      2.     0x1      0x4E
64.      2.     0x1      0x4D
65.      4.     0x1      0x4C
66.      4.     0x1      0x4B
67.      4.     0x1      0x4A
68.      4.     0x1      0x49
69.      4.     0x1      0x48
70.      4.     0x1      0x47
71.      4.     0x1      0x46
72.      4.     0x1      0x45
73.      4.     0x1      0x44
74.      4.     0x1      0x43
75.      4.     0x1      0x42
76.      4.     0x1      0x41
77.      4.     0x1      0x40
78.      4.     0x1      0x28
79.      4.     0x1      0x27
80.      4.     0x1      0x26
81.      4.     0x1      0x25
82.      4.     0x1      0x24
83.      4.     0x1      0x23
84.      0.     0x1      0x22
85.      0.     0x1      0x21
86.      0.     0x1      0x20
87.      4.     0x1      0x1F
88.      4.     0x1      0x1E
89.      4.     0x1      0x1D
90.      4.     0x1      0x1C
91.      4.     0x1      0x1B
92.      4.     0x1      0x1A
93.      4.     0x1      0x19
94.      4.     0x1      0x18
95.      4.     0x1      0x17
96.      4.     0x1      0x16
97.      4.     0x1      0x15
98.      2.     0x1      0x14
99.      4.     0x1      0x10
100.     4.     0x0      0xFE
101.     5.     0x0      0xC7
102.     0.     0x0      0xC6
103.     5.     0x0      0xC5
104.     5.     0x0      0xC4
105.     0.     0x0      0xC3
106.     2.     0x0      0xC2
107.     2.     0x0      0xC1
108.     0.     0x0      0xC0
109.     0.     0x0      0xBF
110.     0.     0x0      0xA3
111.     0.     0x0      0xA2
112.     0.     0x0      0xA1
113.     4.     0x0      0xA0
114.     0.     0x0      0x78
115.     0.     0x0      0x77
116.     0.     0x0      0x76
117.     4.     0x0      0x75
118.     2.     0x0      0x74
119.     0.     0x0      0x73
120.     0.     0x0      0x72
121.     4.     0x0      0x71
122.     4.     0x0      0x70
123.     0.     0x0      0x62
124.     0.     0x0      0x61
125.     2.     0x0      0x60
126.     4.     0x0      0x5D
127.     4.     0x0      0x5C
128.     4.     0x0      0x5B
129.     4.     0x0      0x5A
130.     4.     0x0      0x59
131.     4.     0x0      0x58
132.     4.     0x0      0x55
133.     4.     0x0      0x54
134.     4.     0x0      0x52
135.     4.     0x0      0x51
136.     4.     0x0      0x50
137.     0.     0x0      0x35
138.     0.     0x0      0x34
139.     2.     0x0      0x32
140.     0.     0x0      0x31
141.     4.     0x0      0x2C
142.     0.     0x0      0x28
143.     0.     0x0      0x24
144.     2.     0x0      0x1C
145.     0.     0x0      0x0A
146.     4.     0x0      0x09
147.     0.     0x0      0x08
148.     4.     0x0      0x06
149.     4.     0x0      0x05
150.     4.     0x0      0x04
151.     4.     0x0      0x01
