Channel  Owner  SlaveId  Periph
220.     4.     0x5      0x1C
221.     4.     0x5      0x1D
222.     4.     0x5      0x1E
223.     4.     0x5      0x1F
224.     4.     0xE      0x05
225.     4.     0xE      0x06
226.     0.     0xE      0x08
227.     0.     0x2      0x15
228.     0.     0x2      0x18
229.     0.     0x2      0x40
230.     0.     0x2      0x41
231.     0.     0x2      0x42
232.     0.     0x2      0x43
233.     0.     0x2      0x44
234.     0.     0x2      0x45
235.     0.     0x2      0x46
236.     0.     0x2      0x48
237.     0.     0x2      0x49
238.     0.     0x2      0x4A
239.     0.     0x2      0x4B
