Channel  Owner  SlaveId  Periph
0.       0.     0xE      0x08
1.       4.     0xE      0x06
2.       4.     0xE      0x05
3.       0.     0x3      0xDE
4.       0.     0x3      0xDC
5.       0.     0x3      0xD9
6.       0.     0x3      0xD8
7.       0.     0x3      0xD3
8.       0.     0x3      0xC0
9.       0.     0x3      0xB0
10.      0.     0x3      0x40
11.      4.     0x2      0xFE
12.      0.     0x2      0xC1
13.      0.     0x2      0xC0
14.      0.     0x2      0xA3
15.      0.     0x2      0xA2
16.      0.     0x2      0xA1
17.      0.     0x2      0xA0
18.      4.     0x2      0x79
19.      0.     0x2      0x78
20.      0.     0x2      0x77
21.      4.     0x2      0x76
22.      0.     0x2      0x75
23.      0.     0x2      0x74
24.      0.     0x2      0x73
25.      0.     0x2      0x72
26.      0.     0x2      0x71
27.      4.     0x2      0x70
28.      4.     0x2      0x59
29.      0.     0x2      0x44
30.      0.     0x2      0x43
31.      0.     0x2      0x42
32.      0.     0x2      0x41
33.      0.     0x2      0x40
34.      0.     0x2      0x31
35.      4.     0x2      0x2C
36.      2.     0x2      0x1C
37.      0.     0x2      0x1B
38.      0.     0x2      0x16
39.      0.     0x2      0x14
40.      0.     0x2      0x13
41.      0.     0x2      0x12
42.      0.     0x2      0x11
43.      0.     0x2      0x10
44.      4.     0x2      0x09
45.      0.     0x2      0x08
46.      4.     0x2      0x06
47.      4.     0x2      0x05
48.      4.     0x2      0x04
49.      4.     0x2      0x01
50.      0.     0x1      0xF3
51.      0.     0x1      0xF2
52.      0.     0x1      0xF1
53.      0.     0x1      0xF0
54.      4.     0x1      0xBC
55.      4.     0x1      0x56
56.      4.     0x1      0x55
57.      4.     0x1      0x54
58.      4.     0x1      0x53
59.      4.     0x1      0x52
60.      4.     0x1      0x51
61.      4.     0x1      0x50
62.      4.     0x1      0x4F
63.      2.     0x1      0x4E
64.      2.     0x1      0x4D
65.      4.     0x1      0x4C
66.      4.     0x1      0x4B
67.      4.     0x1      0x4A
68.      4.     0x1      0x49
69.      4.     0x1      0x48
70.      4.     0x1      0x47
71.      4.     0x1      0x46
72.      4.     0x1      0x45
73.      4.     0x1      0x44
74.      4.     0x1      0x43
75.      4.     0x1      0x42
76.      4.     0x1      0x41
77.      4.     0x1      0x40
78.      0.     0x1      0x25
79.      0.     0x1      0x24
80.      0.     0x1      0x23
81.      0.     0x1      0x22
82.      0.     0x1      0x21
83.      0.     0x1      0x20
84.      4.     0x1      0x1F
85.      4.     0x1      0x1E
86.      4.     0x1      0x1D
87.      4.     0x1      0x1C
88.      4.     0x1      0x1B
89.      4.     0x1      0x1A
90.      4.     0x1      0x19
91.      4.     0x1      0x18
92.      4.     0x1      0x17
93.      4.     0x1      0x16
94.      4.     0x1      0x15
95.      2.     0x1      0x14
96.      4.     0x1      0x10
97.      4.     0x0      0xFE
98.      5.     0x0      0xC7
99.      0.     0x0      0xC6
100.     5.     0x0      0xC5
101.     5.     0x0      0xC4
102.     0.     0x0      0xC3
103.     2.     0x0      0xC2
104.     2.     0x0      0xC1
105.     0.     0x0      0xC0
106.     0.     0x0      0xA3
107.     0.     0x0      0xA2
108.     0.     0x0      0xA1
109.     4.     0x0      0xA0
110.     0.     0x0      0x78
111.     0.     0x0      0x77
112.     0.     0x0      0x76
113.     4.     0x0      0x75
114.     2.     0x0      0x74
115.     0.     0x0      0x73
116.     0.     0x0      0x72
117.     4.     0x0      0x71
118.     4.     0x0      0x70
119.     0.     0x0      0x62
120.     0.     0x0      0x61
121.     2.     0x0      0x60
122.     4.     0x0      0x5D
123.     4.     0x0      0x5C
124.     4.     0x0      0x5B
125.     4.     0x0      0x5A
126.     4.     0x0      0x59
127.     4.     0x0      0x58
128.     4.     0x0      0x55
129.     4.     0x0      0x54
130.     4.     0x0      0x52
131.     4.     0x0      0x51
132.     4.     0x0      0x50
133.     0.     0x0      0x35
134.     0.     0x0      0x34
135.     2.     0x0      0x32
136.     0.     0x0      0x31
137.     4.     0x0      0x2C
138.     0.     0x0      0x28
139.     0.     0x0      0x24
140.     2.     0x0      0x1C
141.     0.     0x0      0x0A
142.     4.     0x0      0x09
143.     0.     0x0      0x08
144.     4.     0x0      0x06
145.     4.     0x0      0x05
146.     4.     0x0      0x04
147.     4.     0x0      0x01
