Channel  Owner  SlaveId  Periph
95.      1.     0xF      0x00
11.      0.     0xE      0x08
69.      4.     0xE      0x06
68.      4.     0xE      0x05
67.      4.     0x2      0x06
66.      4.     0x1      0x4F
65.      4.     0x1      0x4E
64.      4.     0x1      0x4D
63.      4.     0x1      0x4C
62.      4.     0x1      0x4B
61.      4.     0x1      0x4A
60.      4.     0x1      0x49
59.      4.     0x1      0x48
58.      4.     0x1      0x47
57.      4.     0x1      0x46
56.      4.     0x1      0x45
55.      4.     0x1      0x44
54.      4.     0x1      0x43
53.      4.     0x1      0x42
52.      4.     0x1      0x41
51.      4.     0x1      0x40
50.      4.     0x1      0x1F
49.      4.     0x1      0x1E
48.      4.     0x1      0x1D
47.      4.     0x1      0x1C
46.      4.     0x1      0x1B
45.      4.     0x1      0x1A
44.      4.     0x1      0x19
43.      4.     0x1      0x18
42.      4.     0x1      0x17
41.      4.     0x1      0x16
40.      4.     0x1      0x15
39.      4.     0x1      0x14
38.      4.     0x1      0x10
100.     4.     0x0      0xFE
92.      0.     0x0      0xC5
91.      2.     0x0      0xC4
90.      0.     0x0      0xC3
89.      0.     0x0      0xC2
88.      0.     0x0      0xC1
87.      0.     0x0      0xC0
86.      0.     0x0      0xA5
85.      2.     0x0      0xA4
84.      2.     0x0      0xA3
83.      0.     0x0      0xA2
82.      0.     0x0      0xA1
81.      0.     0x0      0xA0
37.      4.     0x0      0x80
36.      4.     0x0      0x7F
35.      4.     0x0      0x7E
34.      4.     0x0      0x7D
33.      4.     0x0      0x7C
32.      4.     0x0      0x7B
31.      4.     0x0      0x7A
10.      0.     0x0      0x79
30.      4.     0x0      0x78
77.      2.     0x0      0x77
29.      4.     0x0      0x76
28.      4.     0x0      0x75
27.      4.     0x0      0x74
9.       0.     0x0      0x73
8.       0.     0x0      0x72
7.       0.     0x0      0x71
26.      4.     0x0      0x70
25.      0.     0x0      0x62
6.       0.     0x0      0x61
76.      2.     0x0      0x60
24.      4.     0x0      0x5D
23.      4.     0x0      0x5C
22.      4.     0x0      0x5B
21.      4.     0x0      0x5A
20.      4.     0x0      0x59
19.      4.     0x0      0x57
18.      4.     0x0      0x56
75.      4.     0x0      0x55
74.      4.     0x0      0x54
17.      4.     0x0      0x52
16.      4.     0x0      0x51
73.      4.     0x0      0x50
5.       0.     0x0      0x34
72.      2.     0x0      0x32
4.       0.     0x0      0x31
15.      4.     0x0      0x2C
3.       0.     0x0      0x24
71.      2.     0x0      0x1C
2.       0.     0x0      0x0A
1.       4.     0x0      0x09
0.       0.     0x0      0x08
99.      4.     0x0      0x06
98.      4.     0x0      0x05
97.      4.     0x0      0x04
96.      4.     0x0      0x01
