Channel  Owner  SlaveId  Periph
219.     4.     0x6      0x5E
220.     4.     0x6      0x60
221.     4.     0x6      0x61
222.     0.     0x6      0x62
223.     4.     0x6      0x70
224.     4.     0x6      0x74
225.     4.     0x6      0x75
226.     4.     0x6      0xC0
227.     4.     0x6      0xC1
228.     4.     0x6      0xC2
229.     4.     0x6      0xC3
230.     4.     0x7      0x01
231.     4.     0x7      0x40
232.     4.     0x7      0x41
233.     4.     0xE      0x05
234.     4.     0xE      0x06
235.     0.     0xE      0x08
