Channel  Owner  SlaveId  Periph
61.      0.     0xE      0x08
201.     4.     0xE      0x06
202.     4.     0xE      0x05
196.     4.     0x5      0x40
195.     4.     0x5      0x22
194.     4.     0x5      0x21
193.     4.     0x5      0x20
192.     4.     0x5      0x1F
191.     4.     0x5      0x1E
190.     4.     0x5      0x1D
19.      0.     0x5      0x19
18.      0.     0x5      0x18
17.      0.     0x5      0x17
189.     4.     0x5      0x16
188.     4.     0x5      0x15
187.     4.     0x5      0x14
186.     4.     0x5      0x10
185.     4.     0x4      0xFE
157.     0.     0x4      0xA3
156.     0.     0x4      0xA2
155.     0.     0x4      0xA1
154.     0.     0x4      0xA0
184.     4.     0x4      0x78
183.     4.     0x4      0x77
182.     4.     0x4      0x76
181.     4.     0x4      0x75
180.     4.     0x4      0x74
179.     4.     0x4      0x73
178.     4.     0x4      0x72
177.     4.     0x4      0x71
176.     4.     0x4      0x70
175.     4.     0x4      0x59
174.     4.     0x4      0x2C
60.      0.     0x4      0x24
59.      0.     0x4      0x09
58.      0.     0x4      0x08
173.     4.     0x4      0x06
172.     4.     0x4      0x05
171.     4.     0x4      0x04
170.     4.     0x4      0x01
57.      0.     0x3      0xDE
56.      0.     0x3      0xDC
55.      0.     0x3      0xD9
54.      0.     0x3      0xD8
53.      0.     0x3      0xD3
52.      0.     0x3      0xC0
51.      0.     0x3      0xB0
50.      0.     0x3      0x40
168.     4.     0x2      0xFE
153.     0.     0x2      0xC1
152.     0.     0x2      0xC0
151.     0.     0x2      0xA3
150.     0.     0x2      0xA2
149.     0.     0x2      0xA1
148.     0.     0x2      0xA0
119.     4.     0x2      0x79
49.      0.     0x2      0x78
48.      0.     0x2      0x77
118.     4.     0x2      0x76
47.      0.     0x2      0x75
46.      0.     0x2      0x74
45.      0.     0x2      0x73
44.      0.     0x2      0x72
43.      0.     0x2      0x71
117.     4.     0x2      0x70
116.     4.     0x2      0x59
42.      0.     0x2      0x44
41.      0.     0x2      0x43
40.      0.     0x2      0x42
39.      0.     0x2      0x41
38.      0.     0x2      0x40
37.      0.     0x2      0x31
115.     4.     0x2      0x2C
130.     2.     0x2      0x1C
36.      0.     0x2      0x1B
35.      0.     0x2      0x16
34.      0.     0x2      0x14
33.      0.     0x2      0x13
32.      0.     0x2      0x12
31.      0.     0x2      0x11
30.      0.     0x2      0x10
29.      4.     0x2      0x09
28.      0.     0x2      0x08
167.     4.     0x2      0x06
166.     4.     0x2      0x05
165.     4.     0x2      0x04
164.     4.     0x2      0x01
24.      0.     0x1      0xF3
23.      0.     0x1      0xF2
22.      0.     0x1      0xF1
21.      0.     0x1      0xF0
20.      4.     0x1      0xBC
111.     4.     0x1      0x56
110.     4.     0x1      0x55
109.     4.     0x1      0x54
108.     4.     0x1      0x53
107.     4.     0x1      0x52
106.     4.     0x1      0x51
105.     4.     0x1      0x50
104.     4.     0x1      0x4F
103.     4.     0x1      0x4E
102.     4.     0x1      0x4D
101.     4.     0x1      0x4C
100.     4.     0x1      0x4B
99.      4.     0x1      0x4A
98.      4.     0x1      0x49
97.      4.     0x1      0x48
96.      4.     0x1      0x47
95.      4.     0x1      0x46
94.      4.     0x1      0x45
93.      4.     0x1      0x44
92.      4.     0x1      0x43
91.      4.     0x1      0x42
90.      4.     0x1      0x41
89.      4.     0x1      0x40
114.     4.     0x1      0x25
113.     4.     0x1      0x24
112.     4.     0x1      0x23
16.      0.     0x1      0x22
15.      0.     0x1      0x21
14.      0.     0x1      0x20
88.      4.     0x1      0x1F
87.      4.     0x1      0x1E
86.      4.     0x1      0x1D
85.      4.     0x1      0x1C
84.      4.     0x1      0x1B
83.      4.     0x1      0x1A
82.      4.     0x1      0x19
81.      4.     0x1      0x18
80.      4.     0x1      0x17
79.      4.     0x1      0x16
78.      4.     0x1      0x15
77.      4.     0x1      0x14
76.      4.     0x1      0x10
163.     4.     0x0      0xFE
147.     4.     0x0      0xC7
146.     4.     0x0      0xC6
145.     4.     0x0      0xC5
144.     4.     0x0      0xC4
143.     4.     0x0      0xC3
142.     4.     0x0      0xC2
141.     4.     0x0      0xC1
140.     4.     0x0      0xC0
139.     4.     0x0      0xA3
138.     4.     0x0      0xA2
137.     4.     0x0      0xA1
136.     4.     0x0      0xA0
13.      4.     0x0      0x78
12.      4.     0x0      0x77
11.      4.     0x0      0x76
75.      4.     0x0      0x75
129.     4.     0x0      0x74
10.      4.     0x0      0x73
9.       4.     0x0      0x72
74.      4.     0x0      0x71
73.      4.     0x0      0x70
72.      4.     0x0      0x62
8.       4.     0x0      0x61
60.      4.     0x0      0x60
71.      4.     0x0      0x5D
70.      4.     0x0      0x5C
69.      4.     0x0      0x5B
68.      4.     0x0      0x5A
67.      4.     0x0      0x59
66.      4.     0x0      0x58
127.     4.     0x0      0x55
126.     4.     0x0      0x54
65.      4.     0x0      0x52
64.      4.     0x0      0x51
125.     4.     0x0      0x50
7.       4.     0x0      0x35
6.       4.     0x0      0x34
124.     4.     0x0      0x32
5.       4.     0x0      0x31
63.      4.     0x0      0x2C
4.       4.     0x0      0x28
3.       4.     0x0      0x24
123.     4.     0x0      0x1C
2.       0.     0x0      0x0A
1.       0.     0x0      0x09
0.       0.     0x0      0x08
162.     4.     0x0      0x06
161.     4.     0x0      0x05
160.     4.     0x0      0x04
159.     4.     0x0      0x01
